(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
1956,"Amount of illegal weapons (heavy weapons, small arms, and munitions) and equipment seized by government and international forces (attributed to identity group).",,,2,,,,MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups engage in illegal trafficking in weapons and military equipment and maintain hidden arms caches?,,,,,,,,,
1957,Recruitment and training of new combatants.,,,2,,,,MPICE; EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Has the command and control structure of armed opposition groups been permanently dismantled?,,,,,,,,,
1958,"Response of demobilized combatants to orders from a former commander to take up arms (i.e., accept or refuse).",,,2,,,,MPICE; EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Has the command and control structure of armed opposition groups been permanently dismantled?,,,,,,,,,
1959,"Structures under the control of violent factions continue to be used to intimidate, coerce, and assassinate political rivals.",,,2,,,,MPICE; EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Has the command and control structure of armed opposition groups been permanently dismantled?,,,,,,,,,
1960,Percentage of military and intelligence services members who are not loyal to the legitimate government.,,,2,,,,MPICE; EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Is there partisan infiltration of military and intelligence services?,,,,,,,,,
1961,Extent to which the defense department/ministry is controlled by partisan political actors.,,,2,,,,MPICE; EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Is there partisan infiltration of military and intelligence services?,,,,,,,,,
1962,"The degree to which ex-combatants (leaders and rank-andfile) and members of their support base believe their personal safety is guaranteed (e.g., against prosecution, revenge killings, or punishment from former commanders) if they give up arms.",,,2,,,,MPICE; S/PD; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Do ex-combatants and members of their support base believe that peace holds more promise than combat?,,,,,,,,,
1963,The degree to which ex-combatants (leaders and rankand-file) and members of their support base express confidence in peace and/or political processes.,,,2,,,,"MPICE; S/PD, CA; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Do ex-combatants and members of their support base believe that peace holds more promise than combat?",,,,,,,,,
1964,The degree to which ex-combatants (leaders and rankand-file) and members of their support base believe the peace and/or political process fairly represents their self interests and the interests of their families.,,,2,,,,MPICE; S/PD; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Do ex-combatants and members of their support base believe that peace holds more promise than combat?,,,,,,,,,
1965,Number of heavy weapons placed in cantonment as a percentage of heavy weapons in possession (both government and opposition forces).,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1966,Ratio of individual weapons and ammunition relinquished to number of demobilizing combatants (both government and opposition forces).,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1967,Percentage of ex-combatants (both government and opposition forces) who have met demobilization requirements established in the peace settlement.,,,2,,,,"MPICE; QD, EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1968,Percentage of eligible combatants (both government and opposition forces) registered for reintegration programs.,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1969,Number and percentage of ex-combatants employed or included in the official security sector.,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1970,Number and percentage of ex-combatants returned to their original communities or resettled elsewhere.,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1971,Incidence of involvement of ex-combatants in violent crime.,,,2,,,,"MPICE; QD, EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1972,Incidence of attacks or intimidation or discrimination against ex-combatants.,,,2,,,,"MPICE; QD, CA; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1973,Level of participation in the political process and civil society by ex-combatants (leaders and rank-and-file).,,,2,,,,"MPICE; SP/D; Safe and Secure Environment; Diminish the Drivers of Conflict; Threat from Ex-combatants Diminished; Have former combatants and their support base disarmed, demobilized, and reintegrated into society?",,,,,,,,,
1974,Percentage of military-aged population that expresses an inclination to support or join a violent faction (by identity group).,,,2,,,,MPICE; SP/D; Safe and Secure Environment; Diminish the Drivers of Conflict; Popular Support for Violent Factions Diminished; Do armed opposition groups receive support from sympathizers in the population?,,,,,,,,,
1975,"Intensity of popular support (passive sympathy, devotion, or active support) given to violent factions (by identity group).",,,2,,,,MPICE; S/PD; Safe and Secure Environment; Diminish the Drivers of Conflict; Popular Support for Violent Factions Diminished; Do armed opposition groups receive support from sympathizers in the population?,,,,,,,,,
1976,"Degree of collaboration (passive sympathy, devotion, or active support) between various political-social institutions (e.g., tribal associations, religious groups, social welfare networks, educational centers, local media associations, or financial institutions) and violent factions.",,,2,,,,"MPICE; S/PD, EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Popular Support for Violent Factions Diminished; Do armed opposition groups receive support from sympathizers in the population?",,,,,,,,,
1977,Percentage of the population that feels intimidated by the threats or actions of violent factions (by identity group).,, S/PD,2,,,,MPICE, Safe and Secure Environment, Diminish the Drivers of Conflict, Popular Support for Violent Factions Diminished, Is support for violent armed factions coerced?,,,,,
1978,Accusations of treason against individuals within their own identity group for cooperating with opposing identity groups or supporting the peace process.,,,2,,,,"MPICE; CA, EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Popular Support for Violent Factions Diminished; Is support for violent armed factions coerced?",,,,,,,,,
1979,"Menacing letters, threats of harm, and punishment for cooperating with opposing identity groups or supporting the peace process.",,,2,,,,"MPICE; EK, S/PD; Safe and Secure Environment; Diminish the Drivers of Conflict; Popular Support for Violent Factions Diminished; Is support for violent armed factions coerced?",,,,,,,,,
1980,Percentage of people who approval of the use of force against the violent faction with which they affiliate.,,,2,,,,MPICE; S/PD; Safe and Secure Environment; Diminish the Drivers of Conflict; Popular Support for Violent Factions Diminished; Is there popular approval for the use of force against violent armed factions?,,,,,,,,,
1981,"Incidents of public dissent (e.g., demonstrations, funeral processions, or symbolic marches) in response to the use of force by state security forces and/or the international mission against violent factions.",,,2,,,,MPICE; QD/CA; Safe and Secure Environment; Diminish the Drivers of Conflict; Popular Support for Violent Factions Diminished; Is there popular approval for the use of force against violent armed factions?,,,,,,,,,
1982,Number of assassinations or attempted assassinations of opposition group members attributed to state security forces.,,,2,,,,"MPICE; QD, CA; Safe and Secure Environment; Diminish the Drivers of Conflict; Use of National Security Forces for Political Repression Diminished; Are security forces used to repress political opposition groups?",,,,,,,,,
1983,Number of arbitrary arrests and disappearances of opposition group members attributed to state security forces.,,,2,,,,"MPICE; QD, CA; Safe and Secure Environment; Diminish the Drivers of Conflict; Use of National Security Forces for Political Repression Diminished; Are security forces used to repress political opposition groups?",,,,,,,,,
1984,Incidents of torture attributed to state security forces.,,,2,,,,"MPICE; EK, CA; Safe and Secure Environment; Diminish the Drivers of Conflict; Use of National Security Forces for Political Repression Diminished; Are security forces used to repress political opposition groups?",,,,,,,,,
1985,Percentage of the public who report that they or their family members have suffered from abuses or excessive use of force at the hands of state security forces.,,,2,,,,MPICE; S/PD; Safe and Secure Environment; Diminish the Drivers of Conflict; Use of National Security Forces for Political Repression Diminished; Are security forces used to repress political opposition groups?,,,,,,,,,
1986,Number of assassinations or attempted assassinations of opposition group members attributed to overt statesponsored or covert state-supported private militias.,,,2,,,,MPICE; S/PD; Safe and Secure Environment; Diminish the Drivers of Conflict; Use of National Security Forces for Political Repression Diminished; Are overt state-sponsored or covert state-supported private militias used to attack political opponents?,,,,,,,,,
